predictor,pooled_rho_n30_nonindependent,pooled_p_nominal_INVALID_do_not_report
int_auc,-0.20854662808813715,0.2687543008983316
int_brier,0.24104162029824178,0.19943642331282838
int_scale_offset,-0.09034268136436979,0.6349479601002515
int_gap_contribution,0.15131286533933858,0.4247716513641739
