mode,criterion,n,int_auc_rho,int_auc_p_nominal_n5_use_with_care,int_brier_rho,int_brier_p_nominal_n5_use_with_care,int_scale_offset_rho,int_scale_offset_p_nominal_n5_use_with_care,int_gap_contribution_rho,int_gap_contribution_p_nominal_n5_use_with_care
clinical,auc,5,-0.3,0.623837664781073,0.3,0.623837664781073,-0.09999999999999999,0.8728885715695384,0.49999999999999994,0.3910022189557703
clinical,neg_brier,5,-0.8999999999999998,0.03738607346849874,0.7999999999999999,0.10408803866182788,0.09999999999999999,0.8728885715695384,-0.49999999999999994,0.3910022189557703
fusion,auc,5,-0.19999999999999998,0.7470600781046621,-0.09999999999999999,0.8728885715695384,-0.39999999999999997,0.5046315754686912,-0.9999999999999999,1.4042654220543602e-24
fusion,neg_brier,5,-0.09999999999999999,0.8728885715695384,0.39999999999999997,0.5046315754686912,-0.3,0.623837664781073,0.3,0.623837664781073
imaging,auc,5,-0.7999999999999999,0.10408803866182788,0.7999999999999999,0.10408803866182788,0.09999999999999999,0.8728885715695384,0.7999999999999999,0.10408803866182788
imaging,neg_brier,5,0.09999999999999999,0.8728885715695384,-0.39999999999999997,0.5046315754686912,0.7,0.1881204043741873,0.09999999999999999,0.8728885715695384
