mode,criterion,fold,int_auc,int_brier,int_scale_offset,int_gap_contribution
clinical,auc,1,0.7823308270676691,0.1925722062587738,0.029216995657397327,-5.322553179354372e-05
clinical,auc,2,0.7646616541353383,0.23572897911071777,-0.019802163338291934,0.016603180316828392
clinical,auc,3,0.7032428355957767,0.2407297044992447,0.04404754759351359,0.008219215891998144
clinical,auc,4,0.8246606334841629,0.1761573851108551,-0.04175033821297869,-0.008151348752223786
clinical,auc,5,0.8552036199095023,0.17405441403388977,-0.01171204169964063,-0.00966768195014267
clinical,neg_brier,1,0.7860902255639098,0.19195929169654846,0.03792983447065523,0.004671490736319561
clinical,neg_brier,2,0.762406015037594,0.20477071404457092,-0.01092574849573702,-0.000990555537830784
clinical,neg_brier,3,0.7251131221719457,0.21185973286628723,0.02010978022103449,-0.004581784544448353
clinical,neg_brier,4,0.8344645550527905,0.16771534085273743,-0.04003844673868345,-0.0003476342105537267
clinical,neg_brier,5,0.856711915535445,0.1710614562034607,-0.007075419457269361,-0.00040879427810769364
imaging,auc,1,0.8142857142857143,0.2068345546722412,0.27366816257497234,0.006088562905949613
imaging,auc,2,0.8458646616541353,0.4753168821334839,-0.34707807947833025,0.08622252743818914
imaging,auc,3,0.83710407239819,0.19807159900665283,-0.019088770026411017,-0.010541128014379453
imaging,auc,4,0.8589743589743589,0.18224988877773285,0.03730059476396824,-0.01556668642868464
imaging,auc,5,0.889894419306184,0.1605295091867447,0.055198092165800905,-0.028634713882901286
imaging,neg_brier,1,0.8120300751879699,0.21288371086120605,0.07701523399188714,0.00781383446197681
imaging,neg_brier,2,0.8488721804511277,0.15908877551555634,0.01574505381536373,0.00897161766498078
imaging,neg_brier,3,0.8996983408748115,0.14093004167079926,-0.004538430953751227,-0.0036123662783368315
imaging,neg_brier,4,0.8589743589743589,0.18224988877773285,-0.05305967712766613,-0.002170926217970881
imaging,neg_brier,5,0.889894419306184,0.1605295091867447,-0.035162179725833465,-0.003898844505991539
fusion,auc,1,0.8353383458646617,0.23842711746692657,-0.08330458703906607,-0.0031987116844816033
fusion,auc,2,0.8909774436090225,0.37013593316078186,-0.2519043135739698,-0.011798944312201076
fusion,auc,3,0.8438914027149321,0.172336608171463,0.17822868467278047,0.011245099991954888
fusion,auc,4,0.8974358974358975,0.4740695655345917,-0.3114275343058844,0.026936889021339838
fusion,auc,5,0.8778280542986425,0.2739604413509369,0.46840775024613984,0.038927455999119065
fusion,neg_brier,1,0.8112781954887218,0.23124974966049194,-0.07180550574235955,0.017694463665301696
fusion,neg_brier,2,0.8511278195488723,0.17876239120960236,0.05729381521055399,-0.005590128200517852
fusion,neg_brier,3,0.8966817496229261,0.12543432414531708,-0.05172288597834118,-0.007041594572976595
fusion,neg_brier,4,0.8597285067873304,0.1741127073764801,-0.07132750254642922,-0.002728239556296641
fusion,neg_brier,5,0.8823529411764706,0.19841913878917694,0.13756207905657591,0.010409517826984849
