model,n,accuracy,balanced_accuracy,auc,sensitivity,specificity
1. Age only,365,0.684931506849315,0.6853084709001085,0.7258404627063502,0.6787564766839378,0.6918604651162791
2. Age + sex,365,0.6767123287671233,0.6769038438366068,0.7277382817206892,0.6735751295336787,0.6802325581395349
3. Age + sex + education + SES,365,0.7013698630136986,0.7008525123508856,0.7639173394384866,0.7098445595854922,0.6918604651162791
4. APOE e4 count only,365,0.6575342465753424,0.6600343414869261,0.6489486685142788,0.616580310880829,0.7034883720930233
5. Age + sex + educ + SES + APOE,365,0.7616438356164383,0.7610103626943006,0.8257320159055308,0.772020725388601,0.75
6. Scanner protocol only (CONFOUND),365,0.6136986301369863,0.5967586456199542,0.5885799493914929,0.8911917098445595,0.3023255813953488
